trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
15,1,-0.18528215547336802,0.18528215547336802,23.102425,"{'n_estimators': 1497, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1497,entropy,,15,1,sqrt,0.9,Bank,0.18388620638580755
16,2,-0.1865647354764311,0.1865647354764311,0.556914,"{'n_estimators': 201, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.5}",201,entropy,,15,1,sqrt,0.5,Bank,0.18388620638580755
17,2,-0.18670431553187056,0.18670431553187056,1.112361,"{'n_estimators': 326, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 9, 'max_features': 0.33, 'max_samples': 0.7}",326,entropy,,10,9,0.33,0.7,Bank,0.18388620638580755
18,1,-0.18557026216460284,0.18557026216460284,20.135534,"{'n_estimators': 1349, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.9}",1349,entropy,,10,3,sqrt,0.9,Bank,0.18388620638580755
19,1,-0.18653467666880058,0.18653467666880058,14.208996,"{'n_estimators': 998, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_samples': 0.9}",998,entropy,,14,5,sqrt,0.9,Bank,0.18388620638580755
20,2,-0.18722852141665614,0.18722852141665614,4.618379,"{'n_estimators': 1326, 'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 0.33, 'max_samples': 0.9}",1326,gini,15.0,17,1,0.33,0.9,Bank,0.18388620638580755
21,1,-0.18550077540589302,0.18550077540589302,22.203183,"{'n_estimators': 1475, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 17, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1475,entropy,,17,2,sqrt,0.9,Bank,0.18388620638580755
22,1,-0.1854977800679581,0.1854977800679581,20.172602,"{'n_estimators': 1342, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 18, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1342,entropy,,18,2,sqrt,0.9,Bank,0.18388620638580755
23,1,-0.18526840514637413,0.18526840514637413,23.397336,"{'n_estimators': 1481, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1481,entropy,,15,1,sqrt,0.9,Bank,0.18388620638580755
24,1,-0.18577807182579376,0.18577807182579376,13.489154,"{'n_estimators': 955, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.5}",955,entropy,,14,1,sqrt,0.5,Bank,0.18388620638580755
